H7904;-14.430267119913278;16.489001075869147;22:00;REST;dormir;chambre
H13801;-14.424640343289044;16.4870380708897;22:00;REST;dormir;chambre
H13802;-14.424636319975669;16.48705736034243;06:00;STILL;priére+ wird;chambre
H15301;-14.423716731033737;16.489128228590722;22:00;REST;dormir;chambre
H15302;-14.423716731033737;16.489128228590722;15:00;REST;dormir;chambre
H15302;-14.423716731033737;16.489128228590722;21:00;REST;dormir;chambre
H15303;-14.42373701736746;16.48916435370775;16:00;STILL;reviser;chambre
H15303;-14.42373701736746;16.48916435370775;22:00;REST;dormir;chambre
H29502;-14.432417115024657;16.482384581925885;23:00;REST;dormir;chambre
H29503;-14.432385074767767;16.48240775951659;00:00;REST;dormir;chambre
H39501;-14.42914684327018;16.48950414433038;01:00;REST;dormir;chambre
H39501;-14.42914684327018;16.48950414433038;15:00;REST;Dormir;chambre
H39502;-14.429217921807274;16.489514431907676;04:00;REST;dormir;chambre
H39502;-14.429217921807274;16.489514431907676;12:00;REST;repos;chambre
H39502;-14.429217921807274;16.489514431907676;15:00;REST;Dormir;chambre
H39502;-14.429217921807274;16.489514431907676;19:00;STILL;se connecter;chambre
H39503;-14.429338621209888;16.489538864901576;13:00;REST;Dormir;chambre
H39504;-14.429445909567766;16.48930996620629;00:00;REST;dormir;chambre
H41303;-14.429667565445811;16.488885018918495;21:00;REST;dormir;chambre
H41304;-14.42942285037143;16.488746174264307;00:00;REST;dormir;chambre
H0107;-14.43089447627947;16.485784560246035;05:00;STILL;priére;chambre 
H0404;-14.429423785598074;16.486023382277043;06:00;STILL;priére;chambre 
H1107;-14.426820308758392;16.487522235493767;06:00;STILL;priére;chambre 
H1602;-14.43185972118817;16.485648300502657;06:00;WANDER;priére+ toilette;chambre 
H1602;-14.43185972118817;16.485648300502657;18:00;WANDER;priére+ toilette;chambre 
H2103;-14.429270396992575;16.487292816373323;23:00;REST;dormir;chambre 
H2706;-14.433570849132005;16.485331398647332;05:00;STILL;priére;chambre 
H2802;-14.433883326476673;16.485952523538288;21:00;STILL;palabrer;chambre 
H2809;-14.433957087222359;16.485694686224228;17:50;STILL;reviser;Chambre 
H3405;-14.432259036617177;16.486666881474054;06:30;REST;dormir;chambre 
H4110;-14.42927169671154;16.48769940486903;00:00;REST;Dormir;chambre 
H4511;-14.430079843390775;16.487869309772172;00:00;REST;Dormir;chambre 
H4513;-14.430079535815883;16.48808146358856;00:00;REST;Dormir;chambre 
H4517;-14.430041318920935;16.488048167169534;23:00;REST;Dormir;chambre 
H4524;-14.430038577436285;16.48800626712639;22:00;REST;Dormir;chambre 
H4525;-14.430050426268341;16.48797548618588;22:00;REST;Dormir;chambre 
H4526;-14.43005357297788;16.487941892366536;22:00;REST;Dormir;chambre 
H4527;-14.430050426268341;16.48797548618588;23:00;REST;Dormir;chambre 
H4528;-14.43005357297788;16.487941892366536;23:00;REST;Dormir;chambre 
H4904;-14.432628906813306;16.487897657869222;18:00;STILL;reviser;Chambre 
H4904;-14.432628906813306;16.487897657869222;21:00;STILL;reviser;Chambre 
H5003;-14.432819790055277;16.487656384302937;21:00;STILL;reviser;Chambre 
H5401;-14.432491273826987;16.488961640649975;04:00;STILL;Priére;chambre 
H5902;-14.431707134938272;16.48937699647913;05:00;STILL;Priére;chambre 
H6102;-14.431612026046263;16.487811339755783;22:00;REST;Dormir;chambre 
H6120;-14.4317436955302;16.487442071212765;05:00;STILL;priére;chambre 
H6120;-14.4317436955302;16.487442071212765;15:00;STILL;palabrer;chambre 
H6203;-14.432364976509643;16.48941867708486;22:00;REST;Dormir;chambre 
H6204;-14.432289593452733;16.48941030649092;22:00;REST;Dormir;chambre 
H6205;-14.432301193900232;16.48940474287641;22:00;REST;Dormir;chambre 
H6206;-14.432301193900232;16.48940474287641;22:00;REST;Dormir;chambre 
H6207;-14.4322837827822;16.489410308125912;22:00;REST;Dormir;chambre 
H6208;-14.432269235871216;16.489404752018384;23:00;REST;Dormir;chambre 
H6209;-14.432364976509643;16.48941867708486;23:00;REST;Dormir;chambre 
H6301;-14.432890065483226;16.48901268166036;22:00;REST;Dormir;chambre 
H7105;-14.433582500555925;16.489233246418703;00:00;REST;Dormir;chambre 
H5303;-14.432728968882103;16.488558759094992;16:00;STILL;Regarder la télé;Chambre (141)
H5317;-14.432757361255431;16.488624396667824;17:00;STILL;Regarder la télé;Chambre (141)
H6303;-14.432884163283825;16.489048918065265;21:00;STILL;reviser;Chambre (152)
H6401;-14.433638807507476;16.489245229368333;15:00;REST;Dormir;chambre (160)
H6504;-14.433876870666944;16.488706893418488;01:00;REST;dormir;chambre (164)
H6509;-14.433876870666944;16.488706893418488;01:00;REST;dormir;chambre (164)
H6509;-14.433876870666944;16.488706893418488;06:00;WANDER;préparer  aller à l'Apprendre le coran;chambre (164)
H6510;-14.433876870666944;16.488706893418488;01:00;REST;dormir;chambre (164)
H6510;-14.433876870666944;16.488706893418488;17:00;STILL;reviser;chambre (164)
H6506;-14.433885873948931;16.488746299800834;01:00;REST;dormir;chambre (166)
H6505;-14.434094399256411;16.488619511020335;01:00;REST;dormir;chambre (168)
H5401;-14.432491273826987;16.488961640649975;00:00;REST;Dormir;chambre (169)
H5401;-14.432491273826987;16.488961640649975;06:00;REST;Dormir;chambre (169)
H5402;-14.432491273826987;16.488961640649975;21:30;REST;Dormir;chambre (169)
H5403;-14.432491273826987;16.488961640649975;21:30;REST;Dormir;chambre (169)
H5404;-14.432491273826987;16.488961640649975;21:30;REST;Dormir;chambre (169)
H5405;-14.432491273826987;16.488961640649975;21:30;REST;Dormir;chambre (169)
H5406;-14.432491273826987;16.488961640649975;21:30;REST;Dormir;chambre (169)
H6201;-14.432269235871216;16.489404752018384;00:00;REST;Dormir;chambre (170)
H6201;-14.432269235871216;16.489404752018384;07:00;REST;Dormir;chambre (170)
H6202;-14.432376496870017;16.489390872214724;00:00;REST;Dormir;chambre (171)
H6202;-14.432376496870017;16.489390872214724;15:00;WANDER;coudre;chambre (171)
H6202;-14.432376496870017;16.489390872214724;17:00;WANDER;coudre;chambre (171)
H4804;-14.432465313534685;16.488299530422566;22:00;REST;Dormir;chambre (176)
H4805;-14.432352219465074;16.48834671403975;00:00;REST;Dormir;chambre (178)
H5701;-14.431845506161578;16.488273788053615;00:00;REST;Dormir;Chambre (186)
H5703;-14.431842660095784;16.488449235909357;00:00;REST;Dormir;chambre (188)
H5801;-14.432028178981911;16.488767157725498;22:00;REST;Dormir;chambre (191)
H5802;-14.432028178981911;16.488767157725498;22:00;REST;Dormir;chambre (191)
H5504;-14.430231084802344;16.488412527969018;22:00;REST;dormir;chambre (210)
H7903;-14.430267119913278;16.489001075869147;22:00;REST;dormir;chambre (214)
H5503;-14.430210612621162;16.48840698004533;22:00;REST;dormir;chambre (221)
H4101;-14.429283153896858;16.48801633935489;23:00;REST;Dormir;chambre (223)
H4109;-14.42925137221955;16.487682745365657;23:00;REST;Dormir;chambre (225)
H4102;-14.429439825789768;16.487966359218504;23:00;REST;Dormir;chambre (227) 
H4104;-14.42951855051249;16.487760496206256;05:00;WANDER;priére+ préparatif;chambre (229)
H7714;-14.42975382938776;16.48860990608701;23:00;REST;dormir;chambre (231)
H5001;-14.432848692305502;16.487681356736605;05:30;REST;Dormir;chambre (266)
H41305;-14.429673392047082;16.488854360293765;23:00;REST;dormir;chambre (266)
H5001;-14.432811102129993;16.487675819402348;00:00;REST;Dormir;chambre (267)
H5003;-14.432808209808574;16.487675820454456;23:00;REST;Dormir;chambre (268)
H5004;-14.432808209808574;16.487675820454456;23:00;REST;Dormir;chambre (268)
H5106;-14.433161511369185;16.488222491692476;23:00;REST;dormir;chambre (275)
H5103;-14.433317750860935;16.488205809571294;22:00;REST;dormir;chambre (279)
H5104;-14.43312677697439;16.488208614112;23:00;REST;dormir;chambre (280)
H5105;-14.43312677697439;16.488208614112;21:00;REST;dormir;chambre (280)
H0302;-14.430172675329933;16.48576838613906;05:30;REST;Dormir;chambre (291)
H0305;-14.430202878710315;16.48582229334643;14:00;REST;Dormir;chambre (292)
H0201;-14.430376210206708;16.486024279425695;22:00;REST;Dormir;chambre (300)
H0202;-14.430389621251589;16.486021707485047;00:00;REST;Dormir;chambre (301)
H0109;-14.43092228409509;16.4858747231437;15:00;REST;Dormir;chambre (305)
H0106;-14.431199827816496;16.485682062166273;22:00;REST;Dormir;chambre (306)
H0108;-14.431220540928653;16.485706304424998;15:00;REST;Dormir;chambre (307)
H0105;-14.431170789574866;16.485665458609084;07:00;REST;dormir;chambre (308)
H0107;-14.43089447627947;16.485784560246035;23:00;REST;Dormir;chambre (309)
H0102;-14.431151257873253;16.485460908574794;00:00;REST;Dormir;chambre (310)
H0104;-14.431146310395558;16.485442154557898;22:00;REST;Dormir;chambre (310)
H0103;-14.431155942986623;16.485481966010624;00:00;REST;Dormir;chambre (311)
H0101;-14.431071763938716;16.485471230879433;01:00;REST;Dormir;chambre (312)
H0901;-14.431140905143144;16.484764220067184;00:00;REST;Dormir;chambre (315)
H0903;-14.431174432752385;16.484752003289945;00:00;REST;Dormir;chambre (315)
H0703;-14.430517291556077;16.484697349164094;22:00;REST;Dormir;chambre (320)
H0702;-14.430491810570802;16.4850381333329;22:00;REST;Dormir;chambre (321)
H1302;-14.431451142491753;16.485143837238958;15:00;REST;Dormir;chambre (325)
H1602;-14.43185972118817;16.485648300502657;14:00;REST;Dormir;chambre (328)
H1303;-14.431489363968781;16.48511490277317;06:30;REST;Dormir;chambre (329)
H1601;-14.4318328990977;16.485666304121185;21:00;REST;Dormir;chambre (329)
H2802;-14.433883326476673;16.485952523538288;22:00;REST;Dormir;chambre (333) 
H2803;-14.433768662042926;16.48590044171428;15:00;REST;Dormir;chambre (334)
H2801;-14.433796154686036;16.485878580200872;06:00;REST;Dormir;chambre (335)
H2804;-14.433879973714278;16.485949951597767;12:00;REST;Dormir;chambre (336)
H2805;-14.433850469415537;16.485968598173578;22:00;REST;Dormir;chambre (337)
H2807;-14.433980556550901;16.485681183512483;07:00;WANDER;priére+ préparatif Apprendre le coran;chambre (339)
H1501;-14.43219538773015;16.48541298380409;12:00;STILL;réviser;chambre (351)
H3305;-14.434144629527752;16.487029523559123;07:00;STILL;priére;chambre (369)
H3306;-14.434076903751091;16.487072603336152;08:00;REST;dormir;chambre (370)
H3003;-14.433685329701275;16.486191242390042;09:00;WANDER;regarder la télé;chambre (388)
H3405;-14.432259036617177;16.486666881474054;06:00;STILL;priére;chambre (404)
H3404;-14.4324461206933;16.486603226144368;06:15;REST;dormir;chambre (407)
H4302;-14.429006756740295;16.48848799497158;22:00;REST;dormir;chambre (416)
H4303;-14.42904728315511;16.4885157518152;00:00;REST;dormir;chambre (417)
H4303;-14.42904728315511;16.4885157518152;08:30;REST;dormir;chambre (417)
H4301;-14.42901544085536;16.488460238011484;00:00;REST;dormir;chambre (418)
H15301;-14.423716731033737;16.489128228590722;05:00;STILL;priére;chambre (442)
H15301;-14.423716731033737;16.489128228590722;06:00;FEED;petit dejeuner;chambre (442)
H2105;-14.429335641172159;16.48731757669051;22:00;STILL;reviser;chambre (443')
H15303;-14.42373701736746;16.48916435370775;18:30;STILL;reviser;chambre (443')
H2707;-14.433615776132363;16.48529024744566;15:00;REST;Dormir;chambre (454')
H2707;-14.433631869386222;16.485330755659884;22:00;REST;Dormir;chambre (455) 
H2706;-14.433570849132005;16.485331398647332;22:00;REST;Dormir;chambre (456)
H2708;-14.433694230744926;16.485363548017613;15:00;REST;Dormir;chambre (458)
H6201;-14.432269235871216;16.489404752018384;15:00;REST;dormir;chambre / cour
H0403;-14.429423785598074;16.486023382277043;06:00;REST;Dormir;chambre 04
H4606;-14.430936329185666;16.488335646727954;21:00;REST;Dormir;Chambre 04
H5303;-14.432757361255431;16.488624396667824;23:00;REST;Dormir;chambre 141
H5306;-14.432757361255431;16.488624396667824;23:00;REST;Dormir;chambre 141
H5310;-14.432757361255431;16.488624396667824;22:00;REST;Dormir;chambre 141
H6304;-14.432884163283825;16.489048918065265;00:00;REST;Dormir;chambre 152
H6302;-14.432875379587307;16.489076788640237;00:00;REST;Dormir;chambre 154
H6303;-14.432875379587307;16.489076788640237;00:00;REST;Dormir;chambre 154
H6305;-14.432852088908762;16.489076809650985;01:00;REST;Dormir;chambre 155
H6305;-14.432852088908762;16.489076809650985;09:00;REST;dormir;chambre 155
H6402;-14.433630007518309;16.48928715414993;23:00;REST;dormir;chambre 159
H6403;-14.433712170117888;16.48923125284157;15:00;REST;dormir;chambre 160
H6404;-14.433697494846854;16.489309534815376;00:00;REST;dormir;chambre 162
H6404;-14.433697494846854;16.489309534815376;07:00;REST;dormir;chambre 162
H6404;-14.433697494846854;16.489309534815376;15:30;REST;dormir;chambre 162
H6510;-14.433876870666944;16.488706893418488;15:00;STILL;reviser;chambre 164
H6403;-14.433697494846854;16.489309534815376;22:00;REST;dormir;chambre 166
H4701;-14.431310059812377;16.488116518301528;22:00;REST;dormir;chambre 196
H4702;-14.431658956145888;16.488235724043086;22:00;REST;dormir;chambre 199
H4703;-14.431696388852224;16.488188415299742;21:00;REST;dormir;chambre 200
H4705;-14.431591840831665;16.488210676076136;22:00;REST;dormir;chambre 201
H4704;-14.431635612523948;16.48822737398066;22:00;REST;dormir;chambre 202
H4711;-14.431327575742763;16.488447705347326;21:00;STILL;reviser;chambre 203
H4706;-14.431396016330098;16.48798800364118;23:00;REST;dormir;chambre 204
H4714;-14.43164662487112;16.488149474021572;06:00;REST;Dormir;chambre 205
H4712;-14.431305896050532;16.48805490580364;11:30;STILL;reviser;chambre 206
H4708;-14.430965849003377;16.488314114271233;05:00;WANDER;priére;chambre 208
H4707;-14.431286829981042;16.488447705620928;23:00;REST;dormir;chambre 209
H1301;-14.431394145552325;16.485181773532013;00:00;REST;Dormir;chambre 224
H7715;-14.429762524313418;16.488568175775463;23:00;REST;dormir;chambre 238
H41301;-14.429655912694905;16.488910109479892;22:00;REST;dormir;chambre 244
H41306;-14.42951613627706;16.48898267076359;22:00;REST;dormir;chambre 246
H41302;-14.429486980321336;16.48897157433427;23:00;REST;dormir;chambre 248
H2102;-14.429551558994781;16.48713497003976;23:00;REST;dormir;chambre 249
H2104;-14.429581063293522;16.48727771187301;12:00;REST;Dormir;chambre 250
H2104;-14.429581063293522;16.48727771187301;03:00;REST;dormir;chambre 251
H7502;-14.431765752507555;16.48680271330956;23:00;REST;Dormir;chambre 262
H4904;-14.432628906813306;16.487897657869222;15:00;STILL;reviser;chambre 271
H4905;-14.432628906813306;16.487897657869222;15:00;STILL;réviser;chambre 272
H4902;-14.432457819969937;16.48798387999389;00:00;REST;Dormir;chambre 276
H0402;-14.429454513873349;16.48601336366329;08:00;REST;dormir;chambre 282
H0403;-14.429423785598074;16.486023382277043;23:00;REST;Dormir;chambre 283
H0404;-14.429423785598074;16.486023382277043;23:00;REST;Dormir;chambre 283
H0405;-14.429529732831709;16.486004735724848;00:00;REST;dormir;chambre 284
H0406;-14.429490723694533;16.486001789929464;05:00;STILL;priére;chambre 285
H0502;-14.429834134807702;16.485563830156913;05:00;STILL;priére+ wird;chambre 294
H0503;-14.429693318836431;16.485720718844735;00:00;REST;Dormir;chambre 295
H0505;-14.429888984099211;16.48550044148988;22:00;REST;Dormir;chambre 298
H3105;-14.433784180043672;16.486586959859537;00:00;REST;dormir;chambre 376
H3109;-14.433784180043672;16.486586959859537;15:00;REST;repos;chambre 376
H3110;-14.433838494775447;16.486295688210966;14:00;STILL;reviser;chambre 377
H3102;-14.433734559177612;16.486621680953974;23:00;REST;dormir;chambre 378
H3108;-14.433734559177612;16.486621680953974;01:00;REST;dormir;chambre 378
H3106;-14.433499865892147;16.486529734338458;22:00;REST;dormir;chambre 379
H3103;-14.433712430953555;16.486599176541628;23:00;REST;dormir;chambre 380 
H3107;-14.433712430953555;16.486599176541628;15:00;REST;dormir;chambre 380 
H3104;-14.433694996595207;16.486597247591877;04:00;WANDER;priére+ préparatif;chambre 381
H3403;-14.432364313319516;16.486518352338898;06:00;STILL;priére;chambre 406
H5316;-14.433054519927314;16.488364774333235;06:30;REST;dormir;chambre 438'
H5314;-14.433054519927314;16.488364774333235;22:00;REST;Dormir;chambre 439'
H13801;-14.424640343289044;16.4870380708897;21:00;STILL;reviser;chambre 445'
H13803;-14.424656436542525;16.487089509426042;22:00;REST;dormir;chambre 445'
H13804;-14.424656436542525;16.487089509426042;23:00;REST;dormir;chambre 445'
H13805;-14.424625591140014;16.4870380708897;00:00;REST;dormir;chambre 447
H13802;-14.424636319975669;16.48705736034243;00:00;REST;dormir;chambre 447'
H1102;-14.431711987424524;16.486703077015207;07:00;STILL;priére;chambre maison 75
H1102;-14.431711987424524;16.486703077015207;07:15;FEED;dejeuner;chambre maison 75
H6303;-14.432890065483226;16.48901268166036;06:00;WANDER;Prière + préparatif Apprendre le coran;Chambre maman
H6503;-14.433885873948931;16.488746299800834;07:00;WANDER;préparatif aller enseigner;chambre(166)
H6116;-14.433258090415816;16.486755908360674;08:30;WANDER;aller au travail;chauffeur
H5604;-14.430963439517283;16.48896140600484;05:00;WANDER;Priére+ Enseignement;classe
H5604;-14.430957631607754;16.488980867111373;16:00;WANDER;Enseignement;classe
H5604;-14.430963439517283;16.48896140600484;19:00;WANDER;Enseignement;classe
H1101;-14.432419419997112;16.484983733093735;09:00;WANDER;aller au travail;cosmetique (343)
H1106;-14.432391256802859;16.48493357997545;08:00;WANDER;aller à la boutique;cosmétique 346
H1106;-14.432391256802859;16.48493357997545;16:00;WANDER;aller à la boutique;cosmétique 346
H0101;-14.430830745695793;16.48553100051038;13:45;FEED;Déjeuner;Cour
H0101;-14.430830745695793;16.48553100051038;15:00;WANDER;alimenter les moutons;cour
H0101;-14.430830745695793;16.48553100051038;19:00;WANDER;alimenter les moutons;cour
H0102;-14.4311688257899;16.485553152923256;10:00;REST;repos;cour
H0102;-14.4311688257899;16.485553152923256;14:00;FEED;déjeuner;Cour
H0102;-14.4311688257899;16.485553152923256;19:00;REST;repos;cour
H0103;-14.43107705648133;16.485618288970777;07:30;WANDER;Tâche ménagére;cour
H0103;-14.4311688257899;16.485553152923256;08:00;FEED;petit dejeuner;cour
H0103;-14.4311688257899;16.485553152923256;14:00;FEED;déjeuner;Cour
H0103;-14.4311688257899;16.485553152923256;15:00;WANDER;priére+ thé;cour
H0103;-14.4311688257899;16.485553152923256;17:00;STILL;palabrer;cour
H0103;-14.4311688257899;16.485553152923256;18:00;REST;Repos;cour
H0103;-14.4311688257899;16.485553152923256;20:00;FEED;diner;cour
H0104;-14.4311688257899;16.485553152923256;07:00;FEED;petit dejeuner;cour
H0104;-14.4311688257899;16.485553152923256;19:00;REST;repos;cour
H0104;-14.4311688257899;16.485553152923256;21:00;FEED;diner;cour
H0105;-14.431101371637286;16.485726481931895;05:00;STILL;priére+ wird;cour
H0105;-14.431052164188532;16.485718155429925;07:30;FEED;petit dejeuner;cour
H0105;-14.431052164188532;16.485718155429925;08:00;REST;Repos;cour
H0105;-14.431052164188532;16.485718155429925;14:00;FEED;déjeuner;cour
H0105;-14.431052164188532;16.485718155429925;15:00;REST;Dormir;cour
H0105;-14.431101371637286;16.485726481931895;17:00;STILL;priére;cour
H0105;-14.431052164188532;16.485718155429925;20:00;FEED;diner;cour
H0106;-14.431101371637286;16.485726481931895;05:00;STILL;priere;cour
H0107;-14.431056804912561;16.485823474263928;06:00;WANDER;tache ménagére;cour
H0107;-14.431052164188532;16.485718155429925;14:00;FEED;déjeuner;Cour
H0107;-14.431052164188532;16.485718155429925;15:00;WANDER;préparer Thé;cour
H0107;-14.431100285826679;16.48580679693857;17:00;WANDER;préparer le diner;cour
H0107;-14.431100285826679;16.48580679693857;20:00;FEED;Diner;cour
H0107;-14.431100285826679;16.48580679693857;21:00;STILL;Palabrer;cour
H0108;-14.431044251700591;16.485733022092766;08:00;FEED;petit dejeuner;cour
H0108;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner;Cour
H0108;-14.431044251700591;16.485733022092766;14:30;WANDER;préparer le thé;cour
H0108;-14.431044251700591;16.485733022092766;20:00;FEED;diner;cour
H0108;-14.431044251700591;16.485733022092766;21:00;STILL;palabrer;cour
H0109;-14.431057550389154;16.485813861639162;06:00;WANDER;priere+ tache ménagére;cour
H0109;-14.431044251700591;16.485733022092766;08:00;FEED;petit dejeuner;cour
H0109;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner;cour
H0109;-14.431044251700591;16.485733022092766;19:00;FEED;diner;cour
H0110;-14.431005373044476;16.485786065548993;06:00;STILL;priére;cour
H0110;-14.431044251700591;16.485733022092766;10:00;REST;Repos;cour
H0110;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner;Cour
H0110;-14.431044251700591;16.485733022092766;17:00;REST;Repos;cour
H0111;-14.431005373044476;16.485786065548993;06:00;WANDER;priére+ préparatif;cour
H0111;-14.431057550389154;16.485813861639162;13:00;WANDER;tache ménagére;cour
H0111;-14.431044251700591;16.485733022092766;14:00;FEED;déjeuner;Cour
H0111;-14.431044251700591;16.485733022092766;15:30;REST;Dormir;cour
H0111;-14.431037564447534;16.485647282014458;17:00;WANDER;remplir les canaris;cour
H0117;-14.431005373044476;16.485786065548993;05:00;STILL;Priére;cour
H0117;-14.431005373044476;16.485786065548993;06:00;REST;Dormir;cour
H0117;-14.431044251700591;16.485733022092766;17:00;STILL;palaber;cour
H0201;-14.43042985438624;16.48596769672363;05:00;STILL;priére;cour
H0201;-14.430550553790187;16.485975412547614;10:00;REST;Repos;cour
H0201;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
H0201;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer;cour
H0201;-14.430550553790187;16.485975412547614;17:00;STILL;palabrer;cour
H0202;-14.430550553790187;16.485975412547614;11:00;FEED;petit dejeuner;cour
H0202;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
H0202;-14.430550553790187;16.485975412547614;15:00;REST;Dormir;cour
H0202;-14.43042985438624;16.48596769672363;17:00;WANDER;palaber;cour
H0203;-14.430464723102935;16.486068002411425;09:00;WANDER;tache ménagére;cour
H0203;-14.430550553790187;16.485975412547614;11:00;REST;repos;cour
H0203;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
H0203;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer;cour
H0203;-14.43042985438624;16.48596769672363;17:00;WANDER;faire le thé;cour
H0203;-14.43042985438624;16.48596769672363;21:00;FEED;Diner;cour
H0204;-14.43042985438624;16.48596769672363;07:00;FEED;Petit dejeuner;cour
H0204;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
H0204;-14.43042985438624;16.48596769672363;19:00;REST;repos;cour
H0205;-14.430464723102935;16.486068002411425;09:00;WANDER;tache ménagére;cour
H0205;-14.430550553790187;16.485975412547614;11:00;REST;repos;cour
H0205;-14.430550553790187;16.485975412547614;14:00;FEED;déjeuner;Cour
H0205;-14.430550553790187;16.485975412547614;15:00;STILL;palabrer;cour
H0205;-14.43042985438624;16.48596769672363;17:00;WANDER;faire le thé;cour
H0205;-14.43042985438624;16.48596769672363;21:00;FEED;Diner;cour
H0301;-14.430118630164962;16.48605546174612;16:00;FEED;dejeuner;cour
H0301;-14.430052049345855;16.486016565960735;20:00;REST;Dormir;cour
H0301;-14.430052049345855;16.486016565960735;21:00;FEED;diner;cour
H0302;-14.430052049345855;16.486016565960735;05:00;STILL;priére;cour
H0302;-14.430052049345855;16.486016565960735;07:00;FEED;petit déjeuner;cour
H0302;-14.430148222443693;16.485972840606323;08:00;REST;repos;cour
H0302;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner;cour
H0302;-14.430148222443693;16.485972840606323;15:00;STILL;palabrer;cour
H0302;-14.430148222443693;16.485972840606323;17:00;STILL;palaber;cour
H0302;-14.430148222443693;16.485972840606323;21:00;FEED;diner;cour
H0303;-14.430148222443693;16.485972840606323;07:00;WANDER;priere+ tache ménagére;cour
H0303;-14.430148222443693;16.485972840606323;09:00;FEED;petit dejeuner;cour
H0303;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner;cour
H0303;-14.430148222443693;16.485972840606323;15:00;STILL;palabrer;cour
H0303;-14.430148222443693;16.485972840606323;22:00;FEED;diner;cour
H0304;-14.430148222443693;16.485972840606323;08:00;STILL;priére;cour
H0304;-14.430148222443693;16.485972840606323;08:15;FEED;petit dejeuner;cour
H0304;-14.430148222443693;16.485972840606323;14:00;FEED;déjeuner;cour
H0304;-14.430148222443693;16.485972840606323;22:00;FEED;dîner;cour
H0304;-14.430148222443693;16.485972840606323;22:30;STILL;palabrer;cour
H0305;-14.430148222443693;16.485972840606323;08:00;WANDER;tache ménagére;cour
H0305;-14.430148222443693;16.485972840606323;13:00;FEED;repas;cour
H0305;-14.430148222443693;16.485972840606323;18:00;REST;repos;cour
H0305;-14.430148222443693;16.485972840606323;20:00;FEED;diner;cour
H0305;-14.430148222443693;16.485972840606323;21:00;STILL;palabrer;cour
H0306;-14.430148222443693;16.485972840606323;06:00;STILL;priére;cour
H0306;-14.43042985438624;16.48596769672363;17:00;FEED;déjeuner+ thé+ repos;cour
H0306;-14.430148222443693;16.485972840606323;21:00;FEED;diner;cour
H0306;-14.43042985438624;16.48596769672363;21:30;WANDER;Diner;cour
H0307;-14.430148222443693;16.485972840606323;08:20;FEED;petit dejeuner;cour
H0307;-14.430148222443693;16.485972840606323;08:40;WANDER;tache ménagére;cour
H0307;-14.430148222443693;16.485972840606323;13:00;FEED;déjeuner;cour
H0307;-14.430148222443693;16.485972840606323;17:00;STILL;Palabrer;cour
H0307;-14.430148222443693;16.485972840606323;20:00;FEED;diner;cour
H0308;-14.430148222443693;16.485972840606323;08:00;FEED;petit dejeuner;cour
H0308;-14.430148222443693;16.485972840606323;08:40;STILL;palabrer;cour
H0308;-14.430148222443693;16.485972840606323;13:00;FEED;déjeuner;cour
H0308;-14.430148222443693;16.485972840606323;19:00;STILL;palabrer;cour
H0308;-14.430148222443693;16.485972840606323;21:00;FEED;diner;cour
H0401;-14.42953289845196;16.486174709842597;06:00;FEED;Petit déjeuner;cour
H0401;-14.429612173889574;16.486183652934674;13:00;REST;Repos;cour
H0401;-14.429612173889574;16.486183652934674;14:00;FEED;Déjeuner;cour
H0401;-14.429526262963476;16.486188898541414;19:00;REST;Repos;cour
H0402;-14.429526262963476;16.486188898541414;09:30;WANDER;préparatif dejeuner;cour
H0402;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner;cour
H0402;-14.429526262963476;16.486188898541414;20:00;FEED;Diner;cour
H0402;-14.429526262963476;16.486188898541414;21:00;STILL;palabrer;cour
H0403;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner;cour
H0403;-14.429526262963476;16.486188898541414;17:00;REST;repos;cour
H0403;-14.429526262963476;16.486188898541414;20:00;FEED;diner;cour
H0404;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner;cour
H0404;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner;cour
H0404;-14.429526262963476;16.486188898541414;15:00;FEED;Thé;cour
H0404;-14.429526262963476;16.486188898541414;19:00;REST;repos;cour
H0405;-14.429526262963476;16.486188898541414;08:00;FEED;petit dejeuner;cour
H0405;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner;cour
H0405;-14.429526262963476;16.486188898541414;15:00;REST;repos;cour
H0405;-14.429526262963476;16.486188898541414;19:00;STILL;priére+ repos;cour
H0405;-14.429526262963476;16.486188898541414;22:00;FEED;diner;cour
H0405;-14.429526262963476;16.486188898541414;23:00;STILL;palabrer;cour
H0406;-14.429526262963476;16.486188898541414;14:00;FEED;déjeuner;cour
H0406;-14.429526262963476;16.486188898541414;18:00;REST;repos;cour
